,sumr_list
0,-333.14458152964653
1,0.0
2,-240.299520653657
3,-84.86244241733523
4,-0.24102636772140867
5,-76.86869895692597
6,-273.63903318545795
7,-1.4245084285045038
8,-50.48101383080182
9,-84.87597271362874
10,-186.27374277069202
11,-2.90263813598136
12,-159.78193164212252
13,-0.873960542643122
14,-148.4790058254545
15,-2.067149517625683
16,-238.52867011542907
17,-2.9141613189674307
18,-119.41971310228922
19,-64.23973248056956
20,-17873.653477567106
21,-36.12534135597873
22,-296.05669600680926
23,-73.96010965958163
24,-16.163386082658405
25,-57.414240094639645
26,-91.09585705611234
27,-73.23532475869021
28,-34.028871543179065
29,-45.22206383313542
30,-260.55958889846386
31,-66.44725585976369
32,-62.20562019503933
33,-260.37064852521587
34,-165.1420816083525
35,-4.186267105930761
36,-171.51362138331532
37,-52.42943765476465
38,-3.0827908008968903
39,-138.90958990764636
40,-274.8754752618161
41,-0.03438416741521218
42,-8.127849243081354
43,-186.51437889246233
44,-377.4039832200446
45,-1.291234061660022
46,-181.13882112838073
47,-2.035317174842611
48,-16.044360664588
49,-2.9181873245361722
50,-16171.243999352339
51,-4275.173178063729
52,-175.4364473035746
53,-266.0765416177065
54,-0.8282163113684601
55,-57.987098958839596
56,-144.2390732531742
57,-198.80175080418962
58,-5.065251475011006
59,-336.02958645290835
60,-6.460309806176517
61,-146.50916755288554
62,-4.548334517861952
63,-131.20560268225256
64,-13.209194685210374
65,-7.626078797121564
66,-4.603350531189953
67,-245.42346059401922
68,-2.5038883544546113
69,-180.07571665741952
70,-3.4846464233671353
71,-67.61308242275906
72,-3.6944223671005147
73,-205.30515380241792
74,-135.44112088741258
75,-7.236977019657908
76,-132.26908678402083
77,-192.63815336347756
78,-62.72934897202072
79,-87.83259853916094
80,-0.12268227144951219
81,-162.15449966190803
82,-0.05878433745258843
83,-35.08403610866418
84,-0.1189226258866934
85,-87.68092597234644
86,-0.28017684987501407
87,-244.02607355855434
88,-148.400881478314
89,-0.8191780422477213
90,-204.25637790300246
91,-86.23525277413519
92,-176.82727544282272
93,-3.1573505810435227
94,-272.95258693687873
95,-52.39767532509709
96,-50.24832314172092
97,-61.65406890340372
98,-0.09450930361869436
99,-170.80886956405553
100,-98.33013369787017
101,-0.1540187001035085
102,-204.63880381136363
103,-17040.959270024836
104,-239.94695995529017
105,-1.9500911852261902
106,-152.794635053338
107,-56.35733013540639
108,-16.83788305388838
109,-138.04137898448045
110,-135.829897547603
111,-11.138888665204654
112,-16948.138072240276
113,-271.86569996620625
114,-197.9306889577912
115,-178.91235837158803
116,-104.52279592089032
117,-32.86745350563498
118,-293.6157237902635
119,-0.5304807620797658
120,-304.00428397752484
121,-1.1700355553147244
122,-182.5228409873675
123,-1.0405643693943698
124,-264.0891706283256
125,-134.54987320026657
126,-7.111022607052286
127,-113.60295820885248
128,-2.2409686171256906
129,-67.74868270862709
130,-5.227193885651626
131,-88.04027719182167
132,-3.0383677683695156
133,-155.55667226638633
134,-2.159112586400518
135,-136.73686506031572
136,-5.283799676876077
137,-64.29286228987642
138,-3.4239568191991996
139,-198.90749309387988
140,-4.830083068053794
141,-120.19001410604285
142,-37.320872936671535
143,-2.553329172745207
144,-110.00898911108773
145,-0.910530443720141
146,-87.66305850273824
147,-245.46077827875735
148,-24.435746403287148
149,-150.29275441314138
150,-18.11818690302505
151,-76.43558083438947
152,-47.240470946710694
153,-136.67233998595975
154,-78.81061716427011
155,-63.04263388744034
156,-16.4381028207667
157,-179.5246911790989
158,-102.83042396775997
159,-122.5279040328126
160,-47.1274614120614
161,-82.24452447251431
162,-18.008429097321166
163,-144.3191952929741
164,-78.09141143058386
165,-4438.552149387046
166,-77.20260447026104
167,-0.26834444257963946
168,-102.77672125160615
169,-0.48276987387006476
170,-66.40206469199666
171,-0.5283638450052071
172,-9.245653156845707
173,-0.2609063470665523
174,-89.00767845004145
175,-0.20638904734085084
176,-306.7657890943159
177,-0.6750266629904726
178,-73.4188653056456
179,-0.16705552280878505
180,-165.78742013367932
181,-0.18571421700796012
182,-101.70737249588836
183,-0.23579678521449002
184,-58.77665050378358
185,-0.5289527746066828
186,-222.23266924456408
187,-17634.22751274106
188,-16488.93207700106
189,-1.8269862790391567
190,-72.14596312176427
191,-2.1417770242672716
192,-145.24447905970047
193,-4473.381359519145
194,-3.213549440580056
195,-60.539247152058365
196,-8.247397060598562
197,-51.42992902709876
198,-1.2984889652957008
199,-121.10008358638258
200,-1.0665698406340949
201,-74.89072283367736
202,-1.8708851710990317
203,-50.73757823022607
204,-11.525956383027655
205,-44.53664575108598
206,-7.785382891245712
207,-136.56436701393372
208,-107.73745913314357
209,-12.961694255372487
210,-93.34317040696882
211,-245.5243397132135
212,-46.475713593085004
213,-70.76225769626748
214,-53.488695286243036
215,-113.40045388039118
216,-52.055235496282606
217,-154.77804337957295
218,-11.480084882041313
219,-283.31138964051513
220,-59.02202079891607
221,-97.76082370566945
222,-42.72899490014594
223,-93.50774482721276
224,-60.81037275615526
225,-166.62093264835735
226,-55.69648260236478
227,-191.13698501963538
228,-0.07570542562780308
229,-115.48640010114346
230,-0.1728134588358666
231,-115.67463531639841
232,-0.10554138984457308
233,-166.2312816602539
234,-0.08119756865161373
235,-113.22701096306093
236,-190.55092324102995
237,-0.6315409904235136
238,-69.71217119926386
239,-0.35785651307772276
240,-220.38649118254366
241,-0.5495928316439151
242,-80.61513803513911
243,-0.6030564056228476
244,-109.37328667607535
245,-0.3767670244113498
246,-98.93024993561053
247,-0.33796183163806875
248,-98.22390146104969
249,-0.21030588019655627
250,-74.60403073056001
251,-0.3731489834942484
252,-34.55649462195475
253,-0.26147693207472084
254,-201.23600006482658
255,-1.279272776935133
256,-33.954289647647045
257,-0.47488827976443937
258,-36.768635323135996
259,-0.41292544144745297
260,-199.08189559598554
261,-57.19059359741529
262,-0.6873973706922593
263,-73.17309201970366
264,-1.2888151568755362
265,-16859.33471708608
266,-56.55992358302031
267,-6.479523620929026
268,-68.58632587580867
269,-1.9672574044235336
270,-118.38432750680077
271,-49.16490431293723
272,-15.722297477307578
273,-47.298768666470316
274,-219.7863808176026
275,-202.4667328488234
276,-18.036118138668627
277,-53.24911911238
278,-278.75487222928496
279,-38.3419044589881
280,-77.50701180559098
281,-74.52319121852129
282,-195.66203392255937
283,-0.7341230054826666
284,-84.87528251039555
285,-74.69414410693183
286,-44.86250515734379
287,-14.930059200800052
288,-165.1347803174039
289,-94.16524353788532
290,-127.22963123403984
291,-109.50376636074077
292,-33.791881805114926
293,-78.92869288697852
294,-41.12340808247234
295,-30.387097321015528
296,-128.05399826187556
297,-0.12930225301734863
298,-23.74370192600893
299,-0.07524948242880235
300,-190.48395242156045
301,-0.2532561368816034
302,-49.46956928982994
303,-0.16286665264980243
304,-129.78367498296583
305,-0.0691484266769108
306,-90.9307200036362
307,-0.16182351995777317
308,-87.90970163887852
309,-195.6736573616249
310,-1.9291910046830902
311,-13.224985819523951
312,-0.5865329606046036
313,-190.20921515409972
314,-146.4776360419855
315,-0.35816017372069375
316,-120.06886606789776
317,-189.37122086042012
318,-0.5729018939174519
319,-277.04672952634354
320,-1.960621082419303
321,-45.05664441054713
322,-6.1043030369436915
323,-133.38793275478218
324,-34.70626625150665
325,-1.8549149435054433
326,-17579.06610991214
327,-87.17622677572729
328,-41.35685056926747
329,-77.75356504595254
330,-106.48741767986415
331,-165.77606452806947
332,-116.33280169021342
333,-126.88800623032506
334,-64.2740023722336
335,-57.05689121624175
336,-64.92106327862383
337,-84.04033396440612
338,-37.61217626218462
339,-200.02662717638088
340,-108.0548760274383
341,-48.09208556715011
342,-52.09185009743773
343,-142.3760674834014
344,-18.657531535876497
345,-100.7455380829044
346,-61.28682841111898
347,-93.47856779479366
348,-0.14890925241852798
349,-66.33261385248072
350,-0.13519848936226309
351,-206.3682193151894
352,-0.09513592462880444
353,-117.49345139191455
354,-107.60780677234285
355,-145.64362153218568
356,-1.3544413002744735
357,-106.56395442224876
358,-2.1182443634730252
359,-101.32139976328432
360,-1.0492425772544791
361,-4443.406106260639
362,-128.4865730140777
363,-5.506908424780882
364,-206.559213270379
365,-3.0444269287332846
366,-16.574294381410773
367,-2.6910429734058354
368,-29.79742940682928
369,-1.6895658637963842
370,-169.2362123539703
371,-1.4005620787751125
372,-124.19878147988658
373,-2.813232227652369
374,-61.37830687073566
375,-3.5947744921345026
376,-21.202589233718115
377,-5.464573991464906
378,-30.794763689192116
379,-1.6695390716496372
380,-62.79460939453522
381,-2.0810423151366235
382,-68.44189950684915
383,-3.216384687137501
384,-98.60002935095658
385,-2.25296109504344
386,-155.82454497063566
387,-1.4061100725710967
388,-24.00889658717214
389,-3.5387025503749023
390,-52.320443061274624
391,-7.115370421543958
392,-17.1093139298895
393,-2.778890058757184
394,-25.832377890449155
395,-3.227518452753084
396,-45.31669397415509
397,-2.222097581390916
398,-200.47430822283997
399,-4.079540856921008
400,-63.503205671972275
401,-6.25005442705319
402,-198.76687256290523
403,-3.4265506422016623
404,-74.43676709670996
405,-150.07307450252304
406,-8.232533016437719
407,-125.44572666211596
408,-1.7478020988279246
409,-88.19749247781824
410,-13.614859666911622
411,-72.10401892871522
412,-10.761634322955866
413,-90.64840342564013
414,-0.14034259870390917
415,-85.36114554134548
416,-2.2572088328685593
417,-116.81914424542418
418,-12.594709719475235
419,-106.41854771320355
420,-3.183464819108209
421,-45.60880978709938
422,-32.710263022146535
423,-53.92505325978706
424,-16.173738788218685
425,-168.72158962992532
426,-8.027599294662075
427,-83.17765006685646
428,-4.540953091834956
429,-108.93983833869878
