,sumr_list
0,-77536.99140765368
1,-211297.17046879762
2,-72293.78258924627
3,-43943.715857245676
4,-33219.6178563116
5,-33676.75220457067
6,-23348.272206213085
7,-169906.61924796292
8,-34259.2305188073
9,-65848.21090894977
10,-9028.770525167361
11,-16583.695744024753
12,-32059.101043175036
13,-47496.71683294964
14,-54889.60854764155
15,-70832.57555351217
16,-27121.862849506684
17,-37829.833830675525
18,-32212.033204524152
19,-56613.60956655448
20,-37969.99407710986
21,-43663.297374022884
22,-35789.4032167196
23,-41187.85782452039
24,-62687.98136764997
25,-36830.45800045239
26,-166829.67294618627
27,-96163.09639153072
28,-103947.99592422906
29,-38597.54481011284
30,-9158.8534183985
31,-44170.58266773239
32,-58400.25487987138
33,-63060.74884602921
34,-26950.051954888047
35,-35016.01295061638
36,-41426.48017017705
37,-42698.40902377333
38,-33777.298010631304
39,-88113.73330761735
40,-53287.25134927317
41,-39261.36538446241
42,-36579.18148066563
43,-67731.36592305532
44,-31179.48157016673
45,-56387.54418267619
46,-36667.23938112216
47,-64965.3383293729
48,-48895.491216420014
49,-21769.560891713118
50,-101381.03402032531
51,-73688.5915444363
52,-102130.74014361754
53,-54662.47194757017
54,-830766.5481466922
55,-251591.16371268974
56,-98167.06733524402
57,-43866.33581765189
58,-58378.83332603074
59,-39439.97366484744
60,-61803.4635954121
61,-40839.83809392335
62,-37329.58680812571
63,-55326.60348740184
64,-65253.38147533023
65,-96181.14292764626
66,-70555.42135467054
67,-45129.29137359156
68,-85905.70372855607
69,-34375.609994345825
70,-45469.504491688356
71,-159487.6823589116
72,-66992.19265552209
73,-126030.37641744128
74,-34451.21309313561
75,-54453.649985646116
76,-31687.600180970963
77,-48104.145984864634
78,-69117.08706027467
79,-40405.131255058615
80,-93893.7083405747
81,-322425.6689160512
82,-69062.77004586348
83,-59918.780393565896
84,-78371.80033339396
85,-35948.54373391162
86,-44950.808571564165
87,-76092.71286663204
88,-48030.96734308146
89,-56862.80620001533
90,-45133.127433392496
91,-40444.348152031336
92,-43456.39570521439
93,-81893.96892493618
94,-76083.04159733669
95,-95265.81890314067
96,-8410.48659744086
97,-221182.3793108568
98,-59087.13600748165
99,-105036.55795011601
100,-51726.34987538004
101,-40187.429305843856
102,-39544.042395140874
103,-41747.5863892548
104,-35839.0420782337
105,-63547.96322093208
106,-45679.46472460786
107,-55633.12283089372
108,-62666.76775258729
109,-96167.77422022383
110,-66607.65500255654
111,-195492.79804962353
112,-201108.64814817777
113,-46583.47418494214
114,-78018.37840818374
115,-54023.959478633304
116,-267829.54765623884
117,-41805.513305451386
118,-28208.20526870386
119,-88532.63103404823
120,-69069.46754471361
121,-31199.833294615193
122,-19161.881985707092
123,-65614.55242376492
124,-62649.50080451894
125,-30176.478141553176
126,-43135.46850589945
127,-68987.57886181818
128,-28498.960052894392
129,-244912.13159214033
130,-75385.40887569325
131,-92601.39635076099
132,-39352.79901851958
133,-49288.32146008193
134,-74841.43102621406
135,-25313.92495546236
136,-37063.86452255806
137,-53307.6965554129
138,-31340.805852942063
139,-129964.62788917587
140,-103660.36826200233
141,-74335.82900584233
142,-60469.9573784548
143,-54678.931987806456
144,-117868.88572318584
145,-236370.33846674507
146,-32935.20575299428
147,-91078.68865257154
148,-55337.707746355445
149,-43305.56380588985
150,-38723.86198434307
151,-62644.08234143398
152,-37155.93791929501
153,-40942.140757613284
154,-87599.42715713196
155,-55935.6568945673
156,-49381.2826431749
157,-61166.86517914067
158,-88146.42111305626
159,-38822.35174189741
160,-62254.445591848664
161,-127370.99108410753
162,-74873.71125656672
163,-89714.03924688783
164,-66629.31885414415
165,-94443.5684825842
166,-26167.591872576017
167,-58027.7325693603
168,-39163.64332625424
169,-52369.80417091417
170,-282056.15197100176
171,-57025.04464221463
172,-132708.36720704782
173,-380904.8394644362
174,-47607.545962233366
175,-44320.52349650608
176,-431905.0111691351
177,-69059.56448903822
178,-99017.86947441683
179,-33405.76387070894
180,-204843.7715163088
181,-9113.689570541712
182,-24284.770407062526
183,-39131.10983827398
184,-36347.3612592806
185,-76296.33632660237
186,-68185.6672740624
187,-63520.648369788534
188,-31556.47742025009
189,-7023.422272172362
190,-124580.10369768171
191,-36336.62235473017
192,-19764.668161944894
193,-82007.29639594712
194,-90866.28793750193
195,-64379.06325950966
196,-44939.935543186926
197,-27357.716676488748
198,-63899.50846051298
199,-171849.8522959854
200,-47781.64936432263
201,-68927.9254051407
202,-105298.73313381805
203,-73315.88164402712
204,-106596.94961583537
205,-125378.11150858947
206,-35643.26636011177
207,-84025.25805119892
208,-237923.53071705587
209,-28512.222219298696
210,-23405.371347170276
211,-38940.23142308393
212,-31674.792808995546
213,-70628.92631886683
214,-60975.1424734913
215,-34542.36124173354
216,-97907.65949143132
217,-158105.9199688284
218,-123446.44028023152
219,-77532.96291733345
220,-311066.3107866313
221,-84146.84303061865
222,-55764.778697904934
223,-89540.12244739877
224,-68761.01722944915
225,-36002.62597515683
226,-37020.79533141546
227,-67627.22806581306
228,-115759.48723831346
229,-46515.57719458327
230,-24315.08313680627
231,-17000.553906610367
232,-814705.8792233691
233,-27220.358991518726
234,-44415.29727556895
235,-42458.942294427434
236,-74526.03650120858
237,-44269.83224419404
238,-48342.19440543001
239,-277538.2469962777
240,-85096.509286264
241,-82101.64384985542
242,-15692.281046919563
243,-21703.960482515442
244,-50415.45613276218
245,-42653.80149439149
246,-47759.91150854809
247,-72914.27394434255
248,-54086.25573628968
249,-56263.685738358254
250,-155779.75463589895
251,-195686.347391479
252,-38362.55364966011
