,sumr_list
0,-15.319120801995597
1,-0.9365926719127949
2,-19.48273254226379
3,-1.2765332933633287
4,-12.393299698211319
5,-9.096646876966597
6,-3.5419323131736227
7,-10.062666232229045
8,-15.406415703690795
9,-0.3968299260820664
10,-2.5182860054032528
11,-13.035316819669301
12,-7.676530300521008
13,-12.283206848516329
14,-15.984642101763567
15,-1.7638029354257265
16,-19.15502930710207
17,-14.323882619958916
18,-0.368066424697374
19,-29.021509225219404
20,-8.666769204022708
21,-3.847634806265085
22,-0.8814592739835428
23,-1.433221205255167
24,-6.568077934219879
25,-17.732753796023104
26,-7.73984479713802
27,-4.83090757299171
28,-13.117562594208408
29,-8.457965158467902
30,-4.467758449489373
31,-4.522328614831256
32,-20.924768205405915
33,-2.755753413359968
34,-18.59031325661522
35,-21.92977159927367
36,-20.30133872400276
37,-8.34145748727324
38,-25.325098285269018
39,-3.2934919757173295
40,-12.56480469867547
41,-8.097599924524495
42,-5.075874711977143
43,-0.24864833623125285
44,-2.5955642244459867
45,-12.957627919795803
46,-9.024063946470417
47,-2.811968581516019
48,-2.3439912276674213
49,-11.94805503142164
50,-60.09087685434232
51,-9.342383732783032
52,-7.576158540411482
53,-47.31441477964367
54,-35.4033338568137
55,-6.016502684058113
56,-1.6484811872321814
57,-14.331879725427438
58,-0.5343311156418179
59,-0.27228675170577404
60,-3.7045113727015275
61,-27.155619182744285
62,-17.064995642495525
63,-8.061773506078431
64,-0.8323998892761386
65,-4.635711341490106
66,-7.698818636992248
67,-27.482902488255302
68,-4.6195998285854705
69,-7.5488776993151205
70,-2.9071871531942803
71,-9.429967220523725
72,-8.16553423704969
73,-5.106486768537333
74,-12.398860835119129
75,-3.0150202508699957
76,-8.269738336961273
77,-7.588553923064184
78,-22.460741397597783
79,-0.43847198500947027
80,-17.867825444887586
81,-8.013551669591074
82,-15.964681769132127
83,-15.064188879075628
84,-2.4447111094976046
85,-1.7399997234870572
86,-11.235358626604285
87,-9.308026292897802
88,-0.8037782188676815
89,-20.16413290817118
90,-4.962342229950122
91,-22.04905150813405
92,-5.511373020378705
93,-0.6442458299575121
94,-13.056236662160952
95,-3.2583338786905998
96,-14.965797571618841
97,-7.095025911838642
98,-4.15226874135293
99,-3.8739002087333776
100,-28.72878507936531
101,-8.239512188927614
102,-32.85051147392558
103,-10.188870844239416
104,-11.922255115871769
105,-5.51561020316605
106,-26.02293664976396
107,-2.4401288636276828
108,-23.74823123906645
109,-49.09840939879772
110,-53.26447120215657
111,-11.731998275135359
112,-6.636723988380623
113,-18.215746445637414
114,-10.25263483065781
115,-16.716089388895128
116,-4.414371334691462
117,-6.061750134575245
118,-8.211414503597181
119,-4.7846339563981415
120,-32.625967896531044
121,-19.981444593663518
122,-10.19493528474274
123,-5.870088371670142
124,-3.7153834679436244
125,-13.535404950847502
126,-6.588565724215591
127,-8.051324588130814
128,-11.439811553432698
129,-3.210493399278622
130,-0.8917943321695221
131,-2.084964628503362
