,sumr_list
0,-9.190169551625287
1,-11.970826058967186
2,-13.106761404800615
3,-5.1655165413067765
4,-0.7679612893496708
5,-1.4759553618764374
6,-8.800444415075978
7,-0.43261371125389664
8,-2.217100390317546
9,-11.96880271315975
10,-61.31597040779575
11,-2.4457288480727453
12,-4.0446235355261715
13,-1.670875882247417
14,-10.658930326075366
15,-7.276912113931013
16,-33.839598375500515
17,-2.241459567195325
18,-0.07500131837743976
19,-0.535161438766459
20,-4.445574811206292
21,-0.48084831371324693
22,-2.311161425424271
23,-0.7146214404412451
24,-32.35604067191915
25,-2.775474239200779
26,-2.4905728040834667
27,-25.680377442542923
28,-0.4541989438679076
29,-2.637734837733786
30,-2.9744074867617236
31,-0.10333117982711906
32,-4.399802312518849
33,-4.868368635070799
34,-6.838434341267308
35,-11.88229266779927
36,-4.444596279120698
37,-3.5646393177513995
38,-7.3800345333593675
39,-11.325722498748716
40,-1.271130326439207
41,-0.18004728090646716
42,-12.298863288942131
43,-1.411842099600048
44,-4155.908715437155
45,-6.470751496787575
46,-0.21603786459829308
47,-18.055526050460855
48,-1.7953471652462696
49,-0.8680574684493729
50,-14.758040667809121
51,-1.6864004822977616
52,-0.33654826620751765
53,-6.010446692021257
54,-13.096970042687872
55,-3.2102592563471313
56,-0.025803206997297195
57,-1.446593450999581
58,-2.3065296115583553
59,-3.761165800721671
60,-7.708933652571727
61,-4.15592375031444
62,-28.299135627280553
63,-7.41591715014795
64,-3.601035890504386
65,-0.2654927498197095
66,-0.288743332809526
67,-5.506693391282528
68,-0.22216831541658538
69,-1.104958715095897
70,-1.1212838618950318
71,-15.97709570637648
72,-4.049506950385857
73,-0.3039248400451997
74,-0.895887157012572
75,-3.927487798187216
76,-1.38284869449623
77,-0.6491841497526992
78,-7.889171992120242
79,-0.5942101989441428
80,-9.22454168493243
81,-5.121520113546567
82,-1.7033013862068178
83,-8.248905924316734
84,-3.3570450393479043
85,-2.736341665240105
86,-0.6158667556088844
87,-1.5167931124766765
88,-2.0671480608426323
89,-6.678532928378716
90,-0.2708686109799677
91,-2.7800052376374715
92,-0.49312620523092227
93,-0.4456900511441507
94,-0.30111420930254473
95,-2.22492055190015
96,-2.0938103951763436
97,-0.07978995613374015
98,-0.08341950699838381
99,-2.605950595799632
100,-1.4304503567714606
101,-0.14403573953980298
102,-1.5440252103104197
103,-1.0633877252426127
104,-6.881869938749557
105,-0.2606686710288985
106,-4.149441972948369
107,-6.146847033356934
108,-4.426845193660454
109,-0.860480444576447
110,-0.435951400891797
111,-9.853110204478105
112,-3.537431629024099
113,-18.59876914557461
114,-0.3293536621054494
115,-2.519402945105925
116,-1.0430343424891795
117,-0.3884270361043235
118,-0.18396826352492388
119,-13.948152460373615
120,-0.8689659796537521
121,-0.6596152985409567
122,-0.10117591908972115
123,-0.20648813999703639
124,-8.650390077342843
125,-0.7247933266230564
126,-0.5403932752498511
127,-0.42393051951836613
128,-1.8888341213018598
129,-4.461462374137885
130,-3.9800776274794742
131,-0.40441588058701355
132,-0.19995947331163733
133,-1.055228570931611
134,-2.2511188183692283
135,-0.26370540094826855
136,-0.5314655800556193
137,-1.5685830303607846
138,-0.05145580546565471
139,-0.5578040993438361
140,-0.06865736525429804
141,-0.5061872967213233
142,-0.05831970933478026
143,-6.593828298993554
144,-1.7700148003904568
145,-0.12441923592057207
146,-2.5365594917187737
147,-1.264713489082987
148,-9.991432814155232
149,-0.1413345174451233
150,-0.32602316411005944
151,-1.7092261846995052
