,sumr_list
0,-16.05609673431113
1,-0.6588389149761577
2,-0.8101467398628163
3,-0.18377297667668638
4,-0.44724170495225085
5,-0.5572930814954922
6,-0.9663745809601382
7,-0.6482694920434412
8,-0.013229133364278889
9,-0.038155388965247665
10,-0.7128174335174593
11,-0.07283390714311032
12,-1.4459545120504236
13,-0.0506822554847287
14,-0.0188747217506064
15,-0.024578547030671694
16,-1.8221416103878185
17,-0.5020400731043099
18,-0.9330413866223711
19,-0.4023431408843132
20,-0.8252104305660606
21,-1.2380902503983948
22,-0.03399937071336217
23,-0.06678676421030552
24,-2.0317249799208787
25,-0.32175167645400576
26,-1.8334654732993008
27,-2.428411753740569
28,-0.010954171765053738
29,-1.2381228242771904
30,-0.8755832412149624
31,-3.7455172315646097
32,-0.05323097138553459
33,-0.8828715689315347
34,-0.3552910792788323
35,-0.03194318597209709
36,-0.0622393344480755
37,-1.157835513962926
38,-1.2749755206377118
39,-0.5189724413196672
40,-0.660665426065523
41,-0.2925241338294975
42,-2.1151273913399007
43,-0.8628096566831195
44,-0.9741677280371
45,-1.9475938081645718
46,-0.02648723809046347
47,-0.057137584536735786
48,-0.7897975174658872
49,-1.1016992976150504
50,-0.03615159188626766
51,-0.7202373406520884
52,-0.8959117416589026
53,-0.6826522825843291
54,-0.579534774876891
55,-0.5504646169255911
56,-0.294504764932696
57,-2.0052652685072125
58,-0.7799239685441792
59,-0.5883269605505703
60,-0.939393270729508
61,-0.9218318351720219
62,-0.20303867325679573
63,-1.6511476720191567
64,-0.15914282042490888
65,-2.874925501266983
66,-1.0058410437537217
67,-0.5360565108051634
68,-2.6235424009408512
69,-0.020444800732258482
70,-2.518207444289143
71,-1.4124894936728432
72,-0.4626695362129909
73,-0.8932518396866421
74,-2.090028293568759
75,-2.4290838053848476
76,-0.8819828139125869
77,-3.9849992613354512
78,-2.733574688033892
79,-1.0336247715826041
80,-1.1214159540345943
81,-4.1256788218705935
82,-1.0547620827263569
83,-0.008198907063355082
84,-1.265425948247295
85,-0.5855396849340715
86,-0.47432596141869837
87,-1.3259474806865579
88,-1.3226629515217974
89,-0.08584204233957793
90,-0.05043941026040334
91,-0.5244039941297818
92,-0.6044131993757283
93,-1.2255019005313381
94,-1.4022613685843215
95,-1.880553784311707
96,-0.469247470763421
97,-0.26046306252010154
98,-0.7354012353812504
99,-1.0726592880870747
100,-0.03934941627358332
101,-0.5786344453824067
102,-0.06760810210025939
103,-0.18016589485274173
104,-0.3160782860857516
105,-0.7567647162856943
106,-0.05944896806503417
107,-1.05818012062054
108,-1.4026764743261106
109,-1.016614637845871
110,-0.7594830421150279
111,-1.1497840219816888
112,-0.817469649420408
113,-1.1002860776015988
114,-0.40341818265872714
115,-1.1992231995183043
116,-0.03552719020523195
117,-0.35204325118785185
118,-0.679969034395187
119,-0.20612197866747667
120,-0.7567663433969336
121,-0.23111198001835861
122,-0.8969382583291381
123,-1.8247177392436953
124,-0.4688819541609598
125,-1.013778946775289
126,-2.3711735946655246
127,-0.22471447579321738
128,-0.8441063284993885
129,-2.8206214852175346
130,-0.842892339543706
131,-2.3596140811548647
132,-0.7308070312825315
133,-0.8106463448394357
134,-0.390219001621868
135,-0.26261599619893045
136,-0.028297860940165825
137,-0.28158991589799975
138,-0.19958239973576347
139,-0.13001897189583256
140,-0.009910372921430701
141,-0.8668584680488186
142,-1.2433819499395071
143,-1.2917908097085238
144,-2.116096687602711
145,-1.5819377059683142
146,-1.0876833228878908
147,-0.4950453089216973
148,-0.9887189057127905
149,-0.35694075599975555
150,-3.0171897562046985
151,-0.9628744754084682
152,-0.6230636983442905
153,-0.335808143699027
154,-2.4875937687241056
155,-1.42959338131191
156,-3.996914056860156
157,-0.009713862704909534
158,-0.46365881871543585
159,-2.3129128897540383
160,-2.147846914317806
161,-0.5102772803932071
162,-1.2733631790739752
163,-1.5986397062699476
164,-3.309771852213424
165,-3.2935347092102343
166,-0.01592472484572971
167,-0.5526688873180504
168,-1.3279900083034317
169,-0.15777671430135504
170,-1.085651506690663
171,-1.0571198694949244
172,-0.6126453541592415
173,-0.0536464747678426
174,-1.6018863050210406
175,-0.312378725854692
176,-0.7600329771330797
177,-0.5855043628088629
178,-0.0408855631312367
179,-1.0763014662257153
180,-2.8501856663239007
181,-0.9315276072954778
182,-1.210806914687028
183,-2.986296416421834
184,-0.03672325172055146
185,-0.22768961162056017
186,-0.3924030910219468
187,-1.5118633585952748
188,-0.7235421924325097
