,sumr_list
0,-28.961218112076978
1,-61.34167230863062
2,-92.64374475244817
3,-72.13913319116999
4,-102.81297866736807
5,-8.385084271660851
6,-12.73635629018511
7,-13.193455018023403
8,-60.49294671226609
9,-33.61964801860297
10,-9.12545900936332
11,-18.0972182823331
12,-10.045801250568413
13,-5.4005487020085585
14,-43.03611475146125
15,-1.9211173364621046
16,-0.03950526588866588
17,-79.77511443640165
18,-0.013379149916535072
19,-3.3675589491270386
20,-24.06193145329467
21,-5.563580185512392
22,-17.852539538222388
23,-0.619015570568668
24,-6.691295800727906
25,-117.61314899933792
26,-31.114510877233702
27,-3.9260537619167537
28,-13.458985757752474
29,-103.46421115338846
30,-16.238241319326143
31,-41.778650109145076
32,-2.7479347926138105
33,-31.581887111269673
34,-29.775183068979352
35,-9735.184424016605
36,-0.607382287723449
37,-26.301383224758336
38,-12.134800444252004
39,-0.03805044847958634
40,-19.219477858719024
41,-40.972687674607045
42,-38.026730376407365
43,-0.008160139079164587
44,-28.106681121054216
45,-13.431795754922277
46,-47.502527083811664
47,-24.54068091364726
48,-2.5436530130706476
49,-44.31819072237928
50,-10.886842750478008
51,-1.2763286687578788
52,-56.23661001256255
53,-62.672890781281644
54,-86.93556179416801
55,-0.7334758068479055
56,-15.7368990306011
57,-0.39140244461017726
58,-17.42965985167027
59,-71.45928300654046
60,-0.547437384589883
61,-19.648123805346035
62,-11.3141666419873
63,-1.4377385514810246
64,-8579.86607887552
65,-15.824027036352058
66,-1.9057673312189864
67,-18.178181364511467
68,-4.237866176457217
69,-29.18211025063287
70,-3.0253473450909967
71,-26.46444607017381
72,-0.7367720770066915
73,-8875.955136216548
74,-0.16664313710244816
75,-4.165173120276683
76,-42.589904116254
77,-3.3781996108165084
78,-26.5292577552625
79,-14.822109359513783
80,-0.984858976351632
81,-5.68794794679795
82,-5.662070851952681
83,-24.438682535475916
84,-2.4024193927548243
85,-1.3747268298710653
86,-0.6558313248182454
87,-8439.495178261914
88,-7.533294476701464
89,-4.799538584667313
90,-8.005460506353957
91,-20.129415667064585
92,-24.73353752197
93,-56.750080552781725
94,-136.20865553709862
95,-5.1199267696499815
96,-34.432739773050066
97,-9.848026390695715
98,-1.570815840377932
99,-10.486751391202013
100,-5.064907462025974
101,-57.57283915733629
102,-19.322084346408904
103,-8.064330418438443
104,-0.44665909510693275
105,-87.38765110902379
106,-17.18892922967738
107,-52.857169771885914
108,-1.5481097316830514
109,-1.927164101948937
110,-11.949215331022689
111,-8.421901272375104
112,-4.555248288995571
113,-8.581348024348697
114,-36.605774353549286
115,-6.187429948352839
116,-2.205800887469174
117,-3.9144374514389
118,-2.6676363131705707
119,-6.934775592181941
120,-2.5907480746345763
121,-5.8336098271811965
122,-18.5398276553796
123,-6.136159537529553
124,-4.857533213853716
125,-4.81800957073037
126,-3.7982837154503293
127,-12.925154027163916
128,-26.13104903496952
129,-12.215357182024022
130,-1.615890777187124
131,-24.40845112452727
132,-3.586299903268331
133,-0.9044474190900215
134,-7.156497854717039
135,-0.16099235957628974
136,-13.689521796570718
137,-13.433981264634546
138,-8.093421379157489
139,-6.105657593401638
140,-1.364152456932008
141,-11.31920817502933
142,-13.129352563919607
143,-7.480734056739605
144,-1.282551545742663
145,-4.380807617176283
146,-1.0670326486149668
147,-8.176869529200973
148,-2.8485409536666517
149,-20.128796737179066
150,-0.43585686359317866
151,-0.003146971554126014
152,-3.7925360856677597
153,-1.2821742641857603
154,-2.328061096693901
155,-7.379346817736095
156,-8.116048002921673
157,-1.124010621120369
158,-3.035723180814873
159,-1.4293751431225237
160,-3.133950761406435
161,-3.54770588364441
162,-3.6287687262853714
163,-14.72683784338947
164,-2.618446878256913
165,-5.029458874398624
166,-2.550235952331649
167,-4.019332535311158
168,-5.426084987045979
169,-0.972680990256458
170,-0.01875719665912197
171,-0.20324902174650566
172,-0.36045799993027433
173,-1.0362739898226665
174,-1.756035961270274
175,-5.402822765966045
176,-9.079665853979654
177,-4.39954807785756
178,-7.68765643957
179,-0.6087286482998117
180,-2.4021255863458957
181,-5.935136477046881
182,-19.035100790143456
183,-1.0060882709313987
184,-0.943856684408976
185,-0.1918465040269829
186,-2.0804287048524226
187,-2.329125568962738
188,-1.9582314925135191
189,-0.2458526451937649
190,-21.258373897675774
191,-0.6106804584057746
192,-0.3456418221136732
193,-1.2031611459561273
194,-1.3887421025177518
195,-2.4380555284993117
196,-10.032362324095336
197,-3.8326545567408754
198,-0.0002886321445013434
199,-1.1362807832403006
200,-9.869099089597002
201,-5.143820018503732
202,-0.6224177310260355
203,-13.541786082264734
204,-13.551765904081988
205,-4.871073781760998
206,-0.09149337458380637
207,-0.3716097107643866
208,-0.9348454560560234
209,-2.0170035716903856
210,-6.096827031313819
211,-1.0445308438389078
212,-0.13821432461684813
213,-5.6876379698404325
