,sumr_list
0,-15085.559316409403
1,-961.8386618757637
2,-1618.3506272216919
3,-1907.3080053637464
4,-1737.1045756742856
5,-2742.454823966895
6,-4053.217700857421
7,-678.4303023261931
8,-339.16975872653865
9,-1421.0600799030512
10,-2066.963541320496
11,-968.1892119214127
12,-949.7666648707901
13,-1509.6267424215619
14,-2963.283514741894
15,-972.7801869157705
16,-1098.9328177891498
17,-419.9459896837604
18,-1749.9765572724982
19,-3037.7400550032417
20,-2576.4910403162517
21,-3150.7466933669307
22,-878.2748570033419
23,-5109.4052233790835
24,-1963.9393537782548
25,-1672.3767219725753
26,-1097.407128572212
27,-999.580561633047
28,-1111.907389005801
29,-2923.8027783980488
30,-2177.23012345966
31,-2112.39660678495
32,-704.4567474714578
33,-2258.0575014421447
34,-1388.9620192908026
35,-2501.38067342544
36,-1869.7889428061274
37,-1584.4363635813081
38,-2871.3461058126277
39,-591.5389065792358
40,-4062.6488990242897
41,-782.296006107799
42,-2439.858991377934
43,-1109.743475481876
44,-6271.328334929037
45,-440.0796100866898
46,-6309.068569567903
47,-1609.8033642753965
48,-1353.552087481433
49,-2070.6946085499662
50,-3969.8675030828617
51,-3538.545757010185
52,-3246.6032540502283
53,-2026.3158158437939
54,-7111.434762422644
55,-1836.5801003157771
56,-1789.9690677015744
57,-2115.7174236929754
58,-2074.080040591752
59,-2842.1457980796736
60,-925.2915996361206
61,-1986.8248833730079
62,-4710.882912068324
63,-8030.593855441724
64,-3970.5729990254404
65,-280.3198996640444
66,-65.82407121693372
67,-2752.72813721168
68,-1617.9970194572836
69,-3551.221340733673
70,-1859.5220592908154
71,-3859.9472272751887
72,-5544.5219779303325
73,-2725.171655715014
74,-7806.642614789517
75,-4504.086014440326
76,-4783.481102846133
77,-1899.881077703233
78,-180.3748191765105
79,-3917.479521062721
80,-2840.7537184402927
81,-3703.285246068553
82,-3695.3235850972146
83,-5425.204081366394
84,-8126.594121284039
85,-1403.8039530401495
86,-3207.981094458946
87,-5285.338982702478
88,-401.1290248248484
89,-3090.7327750272702
90,-4404.1692291025975
91,-2203.2551681972914
92,-3016.192177227315
93,-2713.356487266694
94,-5194.871326839528
95,-2110.6913841961123
96,-2600.7719003667544
97,-5619.858657583742
98,-5640.283406634893
99,-773.5759090428646
100,-4634.678121295024
101,-4368.689367901831
102,-4626.384593574403
103,-2105.227748273811
104,-2138.2290053492366
105,-5494.400741366789
106,-9390.506825997203
107,-4417.317323875544
108,-12092.39655919162
109,-1824.9905208504829
110,-5827.4530626385695
111,-8724.99840964168
112,-4565.74706391521
113,-1019.077830557555
114,-3017.55791304839
115,-2868.181746668325
116,-5603.164930750623
117,-3565.106174522082
118,-4832.338261243921
119,-1724.0466291496425
120,-2805.346278053625
121,-5948.852426770952
122,-5787.939826854331
123,-9324.531204342906
124,-5430.325101548334
125,-6177.801616402017
126,-490.3934114290955
127,-4916.183403361434
128,-3321.5455173525525
129,-12814.980855152995
130,-6706.647066311504
131,-2700.6714417916264
132,-4322.706025566479
133,-6362.294794808503
134,-7439.722327541
135,-4787.403900871507
136,-6769.625999169781
137,-9634.890696498904
138,-2769.7527751351427
139,-3232.1549659766033
140,-3377.823190297607
141,-3858.1903907917686
142,-8272.72767097303
143,-2247.3651009863343
144,-5867.967501301319
145,-749.2828361473604
146,-5494.679363257133
147,-5877.52775045206
148,-3816.9838703147348
149,-1295.6430968627446
150,-2312.8832084595174
151,-4917.828828309018
152,-3587.7571590469925
153,-22888.181377580004
154,-638.1968065755042
155,-2922.4441752771836
156,-4667.752232781175
157,-4805.767821004882
