,sumr_list
0,-8666.962670617007
1,-5751.058878648893
2,-1949.1888731057302
3,-2096.4529519086245
4,-916.4319457218577
5,-1067.8441832949545
6,-1013.7796325936645
7,-1511.2219181850903
8,-4038.5411272502524
9,-594.29515271986
10,-2343.652006316368
11,-4560.102252163776
12,-1622.6810456241099
13,-807.7834282492655
14,-602.2399732344089
15,-2074.6815949398265
16,-974.752399466813
17,-1877.1138968353096
18,-253.07669279082305
19,-2466.61830132592
20,-1561.838633724678
21,-3015.5723981016345
22,-2737.959504136857
23,-5273.312218397534
24,-1225.9992456495952
25,-1288.035261676325
26,-2576.015474156996
27,-1217.0124472555117
28,-1625.3320959508085
29,-806.0558282720393
30,-3059.476879561187
31,-3184.9519635062356
32,-2089.2667306305793
33,-673.5614616877064
34,-397.23705560791814
35,-2928.106131708618
36,-1342.0702499478098
37,-2545.377181702884
38,-983.93099224575
39,-2795.674516828694
40,-2746.9701453886482
41,-2148.4142253028026
42,-2620.7754134656125
43,-74.90826840599824
44,-4253.166899237153
45,-890.5220071110957
46,-252.5254919088055
47,-1260.7631166232195
48,-4551.81024550828
49,-6461.437304230892
50,-6020.251316400733
51,-1111.3348559165788
52,-2237.750167637626
53,-432.3734936934445
54,-6410.49842019472
55,-3256.479331980713
56,-443.89348483212825
57,-2103.4013493285734
58,-2657.1623003518334
59,-2768.8159209443293
60,-2078.358978354308
61,-3700.585105404296
62,-2345.744159691175
63,-2006.078418274147
64,-1319.9880689208994
65,-432.86037819331597
66,-1823.9989226162268
67,-491.211468430915
68,-2950.3567663577815
69,-2504.962759593661
70,-352.00692291839704
71,-1712.5083543856683
72,-2424.6536683514014
73,-1552.7630656513531
74,-2057.797966880037
75,-2341.973897844354
76,-1322.9181767289037
77,-236.92849756500925
78,-3319.390792100574
79,-3037.0860134600944
80,-1008.3748002545267
81,-603.3123122707873
82,-1378.3165787630603
83,-2597.459547898071
84,-1530.4661236089792
85,-5462.508883135804
86,-562.8832795023503
87,-945.2339600584645
88,-2953.4988833975776
89,-898.7907809931821
