,sumr_list
0,-2975.9384437469503
1,-1052.4048042681616
2,-1230.6211980094113
3,-6186.790577365848
4,-1733.7566734140842
5,-2376.264646401218
6,-12694.632404585424
7,-7774.989218496139
8,-1800.5052148440814
9,-2202.219343422047
10,-6554.829027418221
11,-5190.789975601964
12,-3771.468924451414
13,-548.7011640585193
14,-1057.1591908863015
15,-707.554674529889
16,-280.55185209861713
17,-1599.0571439594105
18,-1328.6379286991319
19,-3375.913276210406
20,-7083.0118646246865
21,-1054.42680512416
22,-8052.284118363851
23,-1176.130230119296
24,-6600.178840750552
25,-3635.053891195923
26,-5461.5523363323155
27,-1395.4202003872933
28,-1700.430387952773
29,-1351.5144087943133
30,-1907.29776757248
31,-5652.890990803577
32,-5420.13587565576
33,-2736.6390881411457
34,-1863.5409772355865
35,-6104.486421247616
36,-5001.288074055985
37,-1274.7001077229982
38,-2798.489254818566
39,-5028.880496421178
40,-6088.275474199317
41,-1783.7201071896072
42,-1932.3492603392683
43,-310.4608295374695
44,-3603.415434188158
45,-5132.227803331352
46,-1407.3734358581419
47,-1284.1171239225826
48,-864.0305747473093
49,-1619.6175527442354
50,-385.88835001490264
51,-4792.685257069116
52,-10057.516641081036
53,-1047.2145995383378
54,-1319.9696873532978
55,-6364.817349557586
56,-543.7850272467022
57,-6421.766744258863
58,-2781.2476336808973
59,-6109.213750581927
60,-3184.491256478309
61,-1975.3299311829599
62,-1425.6363745285662
63,-6643.4628334597155
64,-5488.582467606192
65,-2639.6821370997636
66,-3370.726804423695
67,-2944.327447554321
68,-2859.17358018743
69,-2204.212085638622
70,-6426.13872276244
71,-6277.682610842754
72,-2567.7443239069976
73,-1773.0350092505034
74,-570.5552081656031
75,-5988.783205797333
76,-4423.159962205747
77,-2899.8866882967372
78,-3713.488832707288
79,-1717.643223568272
80,-4858.153779953506
81,-5027.3532204548
82,-5729.187089489369
83,-3157.2977307197684
84,-906.4605668617539
85,-5303.04545573304
86,-105.89451383068027
87,-4940.864363774278
88,-2655.6751251549513
89,-2427.7077531516493
90,-123.10526417987357
91,-890.038669768583
92,-1810.3816537962164
93,-3156.634872810128
94,-4111.442120320256
95,-332.269719779098
96,-1744.259606933758
97,-4105.582232647862
98,-5858.808098351759
99,-2759.7305867669256
100,-1662.1070033773394
101,-5562.199931200994
102,-4480.443126238204
103,-3898.6656719442053
104,-936.7384485750061
105,-6267.541375588032
106,-2115.7379835384136
107,-7816.935550243004
108,-4610.339916851987
109,-679.703877296716
110,-573.064449100866
111,-2067.80967672165
112,-7285.070414396642
113,-3732.654894611755
114,-3678.848359221233
115,-822.4003857015094
116,-5003.555300543529
117,-2415.860170278814
118,-3935.268412918812
119,-138.69913523018022
120,-1564.0807986246439
121,-305.28396775935283
122,-1471.691180175386
123,-2967.271539167137
124,-3862.5949221791625
125,-2561.3412129224607
126,-6774.5832798918345
127,-2636.2151083663803
128,-1723.4731601223757
129,-4111.380192273997
130,-1142.151586525358
131,-833.0918121229566
132,-1722.1545432841028
133,-444.1409289736006
134,-6789.117075968476
135,-3970.916670057336
136,-1198.2220013908075
137,-9026.777251729949
138,-8795.764531275847
139,-4320.421572122063
140,-814.8553354015141
141,-1409.2692910072135
142,-2300.4581763059427
143,-1033.678532505755
144,-926.1061319028825
145,-98.74385387542925
146,-828.5859645888853
147,-2665.3131077093794
148,-8952.799681571112
149,-1979.34417708953
150,-294.87356198335715
151,-2424.2471747759787
152,-1257.2395218550566
153,-2039.2574287607617
154,-2231.3386408079004
155,-6815.041054004894
156,-3261.23653214195
157,-2356.226999666154
158,-4889.139315223406
159,-4137.788043255514
160,-1379.0671492214474
161,-961.6182101674812
162,-7100.8828548568035
163,-1130.3061928723307
164,-2347.8835735950415
165,-2155.649586873502
166,-2646.4761709434138
167,-4614.817289466152
168,-833.6780475776449
169,-5691.097117099209
170,-5603.776774914885
171,-3540.0031410657343
172,-2141.018865278381
173,-4924.472262372877
174,-6968.618606663609
175,-4231.702496077824
176,-2400.052127171689
177,-3780.952661748201
178,-1408.9416254266707
179,-1316.386181439861
180,-402.40041809150995
181,-3208.661347716419
182,-3461.1104914366488
183,-2393.5187859390767
184,-1057.622547830743
185,-5310.186620315811
186,-2609.492446847427
187,-3694.2471803919393
188,-1396.718194514245
189,-2338.204955657633
190,-2001.0211316151892
191,-6463.039586782206
192,-939.72240717875
193,-1956.1168574176163
194,-333.07909117087985
195,-3777.656626087043
196,-757.0801876550004
197,-5389.5696064392905
198,-327.21821660868306
199,-2407.8124826065955
200,-3588.7834112597875
201,-3842.6308562544136
202,-1837.6365220347493
203,-308.18984917162953
204,-1262.9222789620655
205,-1032.2386390723275
206,-5480.747492898684
207,-310.58491478658664
208,-1265.7988999199843
209,-3467.4605273878906
210,-531.0826884426416
211,-2374.738067561206
212,-1411.4055980057572
213,-2227.1814792154555
214,-3685.217264277271
215,-3115.8404886394455
216,-3173.782673189584
217,-3790.9263551548943
218,-751.8740949558937
219,-2966.665716124351
220,-1855.194364643558
221,-1389.700050298151
222,-277.44213756255084
223,-3209.841340037664
224,-1420.2450396995036
225,-1440.023211708693
226,-1198.5951617540788
227,-487.73093488978265
228,-2232.7325609195086
229,-1599.462574633584
230,-5642.8398162929425
231,-332.1698016310028
232,-3288.9899062730483
233,-1361.8123528147958
234,-2803.5856137340293
235,-4497.854928192788
236,-84.41428336138509
237,-818.1466664240725
238,-683.6654227966606
239,-1111.8812976511845
240,-2956.472943856516
241,-2301.7404335306
242,-549.2645641810385
243,-1673.788432154634
244,-5148.313049480921
245,-5503.97221628966
246,-473.14549236030075
247,-4149.232146659955
248,-4946.296619571415
249,-1847.2180975715596
250,-3275.69090233213
251,-758.5297163116321
252,-2632.4304990288097
253,-913.1641940968817
254,-487.87743513659717
255,-3600.676924014078
256,-2471.271709174098
257,-4746.053849092767
258,-2566.931546381165
259,-7205.454959743023
