,sumr_list
0,-32.119755913478144
1,-28.785147035734553
2,-28.117889664819234
3,-33.44749938110678
4,-26.046130921773273
5,-22.156751561176836
6,-30.298515917287332
7,-23.17825735413928
8,-27.341596461700078
9,-24.14826132092615
10,-14.395814893086992
11,-19.46200044914277
12,-24.128480855019305
13,-33.012793792819906
14,-33.330754055610896
15,-25.992204275758933
16,-24.83957547729727
17,-20.89995058373282
18,-25.72810920987406
19,-25.456658207170307
20,-27.215985220083844
21,-35.196292960382706
22,-17.058383716849885
23,-23.553454283096308
24,-18.79535438842252
25,-25.067668487181276
26,-32.89643276473173
27,-22.285745686399952
28,-33.6187936545055
29,-24.248144435887188
30,-23.566952971859834
31,-24.74941918434462
32,-23.92217268795912
33,-18.304794084540532
34,-24.745800636486255
35,-18.165768605054655
36,-22.767667501001636
37,-25.68345439945737
38,-27.1500845154346
39,-20.248024847431445
40,-31.831937396315556
41,-30.793220151774147
42,-19.658738722568607
43,-19.29880497325067
44,-23.610570738320032
45,-30.689637799644732
46,-26.76130776806086
47,-23.825225883002528
48,-19.60438200432959
49,-21.13948135112158
50,-15.118702035485503
51,-22.336756627935376
52,-21.71424752442696
53,-27.812270095739322
54,-25.987792861137088
55,-13.190080436665106
56,-30.17781122928581
57,-21.641582965016536
58,-23.324167420909582
59,-29.809964426981935
60,-23.859924994395026
61,-18.507105097946972
62,-27.49125181132703
63,-27.15273264058578
64,-26.667270367681386
65,-28.694123495518063
66,-20.15552074419474
67,-19.52160775358439
68,-23.32825845088268
69,-24.642913786728826
70,-21.510761600879974
71,-24.14630690078372
72,-24.40145956011409
73,-19.67603394988642
74,-15.404820052197163
75,-23.28153833680257
76,-20.949691728249075
77,-25.62465099275942
78,-27.57641701330093
79,-22.817245062967977
80,-27.188298338929403
81,-28.673183239197265
82,-30.261626498848116
83,-18.075700633512042
84,-22.36028107999847
85,-16.61187266782074
86,-22.185209369857812
87,-22.281469344858593
88,-26.702824060772354
89,-21.596305069288693
90,-28.948280256117318
91,-19.339932345373125
92,-21.155761913489922
93,-19.506492619392382
94,-20.257607857764686
95,-20.38059189403397
96,-22.427319876023706
97,-25.397897189548896
98,-16.68976517086047
99,-16.825964388709757
100,-21.44225368588387
101,-26.59330347852458
102,-16.016205828648207
103,-26.671857277720616
104,-16.899414895738197
105,-16.85353403154168
106,-19.722177188368327
107,-15.312561700074667
108,-22.864862965868884
109,-25.228139066192053
110,-18.56067189014098
111,-32.527193020461546
112,-24.296175432697535
113,-31.833385234130073
114,-28.58681857528218
115,-28.38161075140397
116,-19.216897522342645
117,-23.269358487082968
118,-24.08943465397744
119,-13.906681744481332
120,-19.059141874551557
121,-17.133664786374474
122,-14.423748843961409
123,-29.617611670886305
124,-16.91117602380067
125,-26.75508963342972
126,-30.371827524671463
127,-17.958240758938416
128,-20.88250865494465
129,-11.954521853832029
130,-22.450064445746293
131,-8.99188983961088
132,-13.1980561958135
133,-20.820966737572252
134,-21.023916287842443
135,-15.773074660837489
136,-27.187374184514496
137,-20.249583714759524
138,-23.137529784113667
139,-20.32430656596943
140,-15.811780111236985
141,-17.195617299878467
142,-18.65458414475723
143,-23.076928437198585
144,-20.2049374675651
145,-18.929924312130343
146,-15.820979048289914
147,-19.09059596710755
148,-17.777850473763433
149,-17.375660134183395
150,-15.966857212980583
151,-21.255335521385714
152,-25.4920080352285
153,-23.384626900065708
154,-17.864540538273904
155,-18.80723213948695
156,-17.25656817085759
157,-13.781210313499273
158,-13.666785546063744
159,-15.846730589907917
160,-11.757017148940962
161,-24.216161608372378
162,-15.968172978178577
163,-21.371735834454448
164,-16.714588301268822
165,-11.04106577549796
166,-21.56457768715554
167,-24.313314979496372
168,-11.832936586892385
169,-21.502887291725905
170,-19.012064149592632
171,-19.53279637191409
172,-14.605793976136711
173,-16.439833726123307
174,-15.351066875543317
175,-24.13144651563647
176,-29.89590401030384
177,-18.560660077411093
178,-20.593496521402102
179,-14.181476639389007
180,-19.805312041528772
181,-9.567299538793218
182,-16.962432344695838
183,-22.312746558493217
184,-12.200852984009252
185,-14.14455182970846
186,-14.959635827412345
187,-22.1644070585755
188,-19.133364043161638
189,-14.46436722046143
190,-9.894831043063672
191,-22.50907277669799
192,-15.714826903932499
193,-18.290178066546307
194,-22.8257015842962
195,-14.626932682390837
196,-10.770502694985453
197,-18.9650530525595
198,-15.879580615758684
199,-16.009146486525708
200,-18.41761891261588
201,-15.045880809151376
202,-10.45091029070817
203,-20.84315992943424
204,-17.451963914341828
205,-20.2252698491981
206,-26.4333119996407
207,-18.65401078162459
208,-11.253330755289516
209,-22.93269320471457
210,-9.814679945666564
211,-25.824146117313482
212,-17.331150286297696
213,-12.08761524563575
214,-23.674010418491275
215,-13.72574155295191
216,-9.110662110265233
217,-16.52946606048513
218,-23.543635713675446
219,-20.16603413732716
220,-16.747121275449775
221,-13.838664300630564
222,-11.591346901318191
223,-22.21014249948954
224,-18.46890029642231
225,-13.037066161589864
226,-16.316539535569564
227,-22.3987100035884
228,-13.905794828986785
229,-24.073605939363343
230,-11.263728674633878
231,-22.72861406566746
232,-17.118624235188584
233,-12.850459024274121
234,-26.002529281975438
235,-26.40033059928652
236,-11.873610973081686
237,-16.49707577416263
238,-28.294998840973534
239,-20.67409618357543
240,-16.542991847240106
241,-15.632888429416422
242,-11.293653795185051
243,-28.343713309691527
244,-19.468014348560928
245,-13.699630725603324
246,-29.780447056966587
247,-16.520707179436606
248,-12.897879832532324
249,-14.677779455874767
250,-14.744443718956534
251,-20.259531578089636
252,-21.446494237641268
253,-17.380987892583565
254,-29.00526385222689
255,-20.255113952978704
256,-13.131675453227645
257,-16.976783517072448
258,-17.697548217595724
259,-14.39558007398595
260,-13.183882917694866
261,-13.345987771672398
262,-20.269227039361148
263,-16.47631653053025
264,-13.084745065342615
265,-14.524501000393883
266,-14.177296630224184
267,-24.444641982640153
268,-16.110690920193854
269,-15.869815663792776
270,-20.092517094343933
271,-20.437338244495216
272,-12.940645983477255
273,-12.158572348753657
274,-23.739181598998815
275,-24.635538301330712
276,-17.329947250119535
277,-18.08526782262699
278,-12.09591795073912
279,-16.07836082084478
280,-16.741083169984723
281,-16.897940338474502
282,-18.22345086864906
283,-17.378961078918245
284,-15.731199798850014
285,-12.829289181326564
286,-12.027078205765063
287,-17.938027545434107
288,-17.20665492868422
289,-21.921169224690402
290,-14.658214345951084
291,-13.338927179672659
292,-21.52043536847024
293,-17.410985547318507
294,-16.737112106028796
295,-25.327752633016804
296,-28.676613438570204
297,-13.231040881130406
298,-12.257676002080425
299,-14.748763469633953
300,-11.552210811702103
301,-21.639215058845593
302,-14.731687162471307
303,-13.089340801120997
304,-18.626531475515762
305,-15.390179389752504
306,-19.977188327985395
307,-14.991497752357489
308,-14.893217458571803
309,-20.801856778307442
310,-20.36914132807335
311,-15.77883178709001
312,-9.607857826577975
313,-12.290126102811147
314,-17.964136709258042
315,-18.512144541617314
316,-11.991281524085093
317,-7.415038665228032
318,-29.22622311694087
319,-16.950351433387926
320,-19.988470040964664
321,-11.761290237845554
322,-20.33589379224297
323,-14.031965433202007
324,-7.311861113530983
325,-10.056233975988324
326,-12.795141832803639
327,-10.699184473540882
328,-10.509596512606619
329,-9.243959479787952
330,-13.569235935643007
331,-9.32577592244495
332,-15.207620394414777
333,-20.658174804974138
