A,T,rl_no_obs,smc_no_obs,rl_obs,smc_obs
0.174532925,3,-7.858009633,-2.304371295,-0.365718554,-2.304371295
0.174532925,3.214285714,-8.763425193,-2.451680796,-0.284252739,-2.451680796
0.174532925,3.428571429,-10.21441082,-2.59807863,-0.223745868,-2.59807863
0.174532925,3.642857143,-10.31496661,-2.663726833,-0.209420711,-2.663726833
0.174532925,3.857142857,-10.18164004,-2.667412803,-0.230084484,-2.667412803
0.174532925,4.071428571,-9.818700225,-2.64321542,-0.233737277,-2.64321542
0.174532925,4.285714286,-9.791738633,-2.614277981,-0.237892606,-2.614277981
0.174532925,4.5,-10.06159291,-2.593740219,-0.237535607,-2.593740219
0.174532925,4.714285714,-9.173279501,-2.582371197,-0.236714199,-2.582371197
0.174532925,4.928571429,-9.636104497,-2.576901255,-0.228363296,-2.576901255
0.174532925,5.142857143,-10.02541324,-2.575267002,-0.222131136,-2.575267002
0.174532925,5.357142857,-10.37117283,-2.576514982,-0.219950778,-2.576514982
0.174532925,5.571428571,-10.56936522,-2.579735078,-0.203974474,-2.579735078
0.174532925,5.785714286,-10.02469672,-2.583714944,-0.206157294,-2.583714944
0.174532925,6,-10.15678865,-2.587354265,-0.219133293,-2.587354265
0.192342407,3,-7.573695745,-2.290556294,-0.405257766,-2.290556294
0.192342407,3.214285714,-8.499819551,-2.451427061,-0.305685771,-2.451427061
0.192342407,3.428571429,-10.36908922,-2.612098266,-0.235620556,-2.612098266
0.192342407,3.642857143,-11.06525377,-2.683414372,-0.223092967,-2.683414372
0.192342407,3.857142857,-10.8882457,-2.686683436,-0.232638663,-2.686683436
0.192342407,4.071428571,-10.56878363,-2.659446155,-0.247945786,-2.659446155
0.192342407,4.285714286,-10.23928828,-2.626687498,-0.2501026,-2.626687498
0.192342407,4.5,-9.851387079,-2.603549157,-0.2523027,-2.603549157
0.192342407,4.714285714,-9.808268079,-2.590645315,-0.248207346,-2.590645315
0.192342407,4.928571429,-9.668439334,-2.584057762,-0.22934845,-2.584057762
0.192342407,5.142857143,-9.977650474,-2.581631815,-0.220899645,-2.581631815
0.192342407,5.357142857,-10.12530666,-2.58260009,-0.219710203,-2.58260009
0.192342407,5.571428571,-9.795725691,-2.586064062,-0.207808631,-2.586064062
0.192342407,5.785714286,-10.32758683,-2.590554586,-0.209932449,-2.590554586
0.192342407,6,-10.26834245,-2.59467663,-0.216724295,-2.59467663
0.21015189,3,-7.033186784,-2.278943483,-0.450378202,-2.278943483
0.21015189,3.214285714,-8.538197101,-2.453126874,-0.333265998,-2.453126874
0.21015189,3.428571429,-10.41595509,-2.628043391,-0.253465191,-2.628043391
0.21015189,3.642857143,-10.97842812,-2.704896192,-0.233381265,-2.704896192
0.21015189,3.857142857,-10.72777141,-2.707610049,-0.244617431,-2.707610049
0.21015189,4.071428571,-10.38827141,-2.67727468,-0.261022799,-2.67727468
0.21015189,4.285714286,-9.717724892,-2.640514637,-0.267155007,-2.640514637
0.21015189,4.5,-9.546987902,-2.614714598,-0.259257621,-2.614714598
0.21015189,4.714285714,-9.552447919,-2.600261268,-0.250979962,-2.600261268
0.21015189,4.928571429,-9.324843384,-2.592470185,-0.237286703,-2.592470185
0.21015189,5.142857143,-9.481551384,-2.589118099,-0.225355781,-2.589118099
0.21015189,5.357142857,-10.27493026,-2.589729221,-0.219625636,-2.589729221
0.21015189,5.571428571,-10.35918125,-2.593457742,-0.210159067,-2.593457742
0.21015189,5.785714286,-10.519262,-2.598526846,-0.212182987,-2.598526846
0.21015189,6,-10.4573641,-2.603219358,-0.221901901,-2.603219358
0.227961372,3,-7.012021247,-2.269560004,-0.453167506,-2.269560004
0.227961372,3.214285714,-8.30927991,-2.456807879,-0.352205001,-2.456807879
0.227961372,3.428571429,-10.31645562,-2.645936775,-0.255708404,-2.645936775
0.227961372,3.642857143,-11.53714597,-2.728179085,-0.253961579,-2.728179085
0.227961372,3.857142857,-11.17145442,-2.730193852,-0.257790374,-2.730193852
0.227961372,4.071428571,-10.60732489,-2.69671403,-0.27001724,-2.69671403
0.227961372,4.285714286,-10.0709946,-2.655749401,-0.281929305,-2.655749401
0.227961372,4.5,-10.41300585,-2.627221598,-0.26974357,-2.627221598
0.227961372,4.714285714,-9.888106495,-2.611211052,-0.254222217,-2.611211052
0.227961372,4.928571429,-9.647823245,-2.602125302,-0.249822459,-2.602125302
0.227961372,5.142857143,-9.767691611,-2.59769353,-0.239984572,-2.59769353
0.227961372,5.357142857,-10.19679244,-2.597854199,-0.223037742,-2.597854199
0.227961372,5.571428571,-10.19322065,-2.601858686,-0.223961795,-2.601858686
0.227961372,5.785714286,-10.6721778,-2.607569691,-0.215578707,-2.607569691
0.227961372,6,-10.68957285,-2.612901701,-0.219857552,-2.612901701
0.245770854,3,-7.416515534,-2.262431337,-0.486688547,-2.262431337
0.245770854,3.214285714,-8.090268455,-2.462497916,-0.352807287,-2.462497916
0.245770854,3.428571429,-10.16797307,-2.665802123,-0.281286696,-2.665802123
0.245770854,3.642857143,-11.15547698,-2.753277126,-0.258442001,-2.753277126
0.245770854,3.857142857,-10.94172672,-2.754443899,-0.287640347,-2.754443899
0.245770854,4.071428571,-10.21022089,-2.717789115,-0.291512552,-2.717789115
0.245770854,4.285714286,-9.890375379,-2.672393027,-0.284895762,-2.672393027
0.245770854,4.5,-9.441487639,-2.641067956,-0.294752569,-2.641067956
0.245770854,4.714285714,-9.633021509,-2.623502838,-0.278739462,-2.623502838
0.245770854,4.928571429,-9.99475963,-2.61303027,-0.254005827,-2.61303027
0.245770854,5.142857143,-9.859796919,-2.60735514,-0.245211458,-2.60735514
0.245770854,5.357142857,-10.05144838,-2.606952237,-0.234647744,-2.606952237
0.245770854,5.571428571,-10.80976025,-2.611239714,-0.224122064,-2.611239714
0.245770854,5.785714286,-10.65229905,-2.61765477,-0.230443114,-2.61765477
0.245770854,6,-10.78946336,-2.623683392,-0.222521772,-2.623683392
0.263580336,3,-7.621072732,-2.257582807,-0.525725034,-2.257582807
0.263580336,3.214285714,-8.153885928,-2.470222468,-0.368673908,-2.470222468
0.263580336,3.428571429,-10.52048542,-2.687663086,-0.277651368,-2.687663086
0.263580336,3.642857143,-11.69148357,-2.780202377,-0.273323838,-2.780202377
0.263580336,3.857142857,-10.67778601,-2.780372772,-0.289793746,-2.780372772
0.263580336,4.071428571,-10.43096179,-2.740530708,-0.299076932,-2.740530708
0.263580336,4.285714286,-9.875273159,-2.69045667,-0.309273123,-2.69045667
0.263580336,4.5,-9.964741276,-2.656260197,-0.295572265,-2.656260197
0.263580336,4.714285714,-9.954402308,-2.637153159,-0.288991653,-2.637153159
0.263580336,4.928571429,-9.627750967,-2.625209091,-0.267366272,-2.625209091
0.263580336,5.142857143,-9.623355138,-2.61811345,-0.248712911,-2.61811345
