A,T,rl_no_obs,smc_no_obs,rl_obs,smc_obs
0.0,5.0,-8811.871289262866,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,5.103448275862069,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,5.206896551724138,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,5.310344827586207,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,5.413793103448276,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,5.517241379310345,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,5.620689655172414,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,5.724137931034483,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,5.827586206896552,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,5.931034482758621,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,6.0344827586206895,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,6.137931034482759,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,6.241379310344827,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,6.344827586206897,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,6.448275862068965,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,6.551724137931035,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,6.655172413793103,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,6.758620689655173,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,6.862068965517241,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,6.9655172413793105,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,7.068965517241379,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,7.172413793103448,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,7.275862068965518,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,7.379310344827586,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,7.482758620689655,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,7.586206896551724,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,7.689655172413794,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,7.793103448275862,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,7.896551724137931,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.0,8.0,-8654.477451892086,-10207.618882490293,-7785.04052298147,-10480.076578801207
0.10416666666666667,5.0,-8772.164402149556,-10447.801784428604,-7908.638652292267,-10819.499934086183
0.10416666666666667,5.103448275862069,-8777.320429411044,-10447.996251054792,-7909.347458792197,-10821.623764334554
